Prix,Marque,Modele,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale,Source
43000.0,KIA,Rio,9.0,123000.0,Essence,Manuelle,5.0,Baniola
70000.0,KIA,Rio,2.0,36000.0,Essence,Manuelle,5.0,Baniola
63900.0,KIA,Rio,3.0,67600.0,Essence,Manuelle,5.0,Baniola
37500.0,KIA,Rio,9.0,237000.0,Essence,Manuelle,5.0,Baniola
65000.0,KIA,Rio,3.0,40000.0,Essence,Manuelle,5.0,Baniola
22500.0,Dacia,Dokker,11.0,250000.0,Diesel,Manuelle,6.0,Baniola
75000.0,Dacia,Autre,3.0,80000.0,Essence,Manuelle,5.0,Baniola
40000.0,Dacia,Duster,10.0,78000.0,Essence,Automatique,9.0,Baniola
13000.0,Dacia,Logan,14.0,300000.0,Diesel,Manuelle,5.0,Baniola
36000.0,Dacia,Sandero,10.0,190000.0,Essence,Manuelle,5.0,Baniola
26900.0,Dacia,Dokker,11.0,253000.0,Diesel,Manuelle,6.0,Baniola
65000.0,Dacia,Duster,4.0,177938.0,Diesel,Manuelle,6.0,Baniola
35000.0,Dacia,Duster,12.0,234214.0,Essence,Manuelle,7.0,Baniola
36000.0,Dacia,Sandero,4.0,130000.0,Essence,Manuelle,5.0,Baniola
36500.0,Dacia,Sandero,4.0,120000.0,Essence,Manuelle,5.0,Baniola
62000.0,Dacia,Sandero,2.0,19000.0,Essence,Automatique,6.0,Baniola
60000.0,Dacia,Duster,10.0,200.0,Diesel,Manuelle,6.0,Baniola
24000.0,Dacia,Dokker,9.0,321000.0,Diesel,Manuelle,6.0,Baniola
14900.0,Dacia,Logan,13.0,271000.0,Diesel,Manuelle,6.0,Baniola
30000.0,Dacia,Dokker,6.0,218000.0,Diesel,Manuelle,6.0,Baniola
32000.0,Dacia,Dokker,6.0,223000.0,Diesel,Manuelle,6.0,Baniola
39000.0,Dacia,Duster,13.0,212000.0,Diesel,Manuelle,5.0,Baniola
39000.0,Dacia,Sandero,8.0,137500.0,Essence,Manuelle,5.0,Baniola
36500.0,Dacia,Duster,11.0,200.0,Diesel,Manuelle,6.0,Baniola
35000.0,Dacia,Sandero,7.0,120.0,Essence,Manuelle,4.0,Baniola
38000.0,Dacia,Sandero,11.0,155000.0,Essence,Manuelle,5.0,Baniola
12000.0,Dacia,Mcv,13.0,150000.0,Diesel,Manuelle,6.0,Baniola
50000.0,Dacia,Sandero,5.0,132000.0,Diesel,Manuelle,5.0,Baniola
39000.0,Dacia,Mcv,7.0,174000.0,Essence,Manuelle,5.0,Baniola
6500.0,Dacia,Dokker,6.0,45000.0,Essence,Manuelle,6.0,Baniola
32000.0,Dacia,Dokker,5.0,190000.0,Diesel,Manuelle,6.0,Baniola
