Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
104900.0,SUZUKI,"SUZUKI JIMNY 3 PORTES
1.5 L 4X4 GL BVA Version unique",2025,0,0,Essence,Automatique,6.0
104900.0,FIAT,"FIAT DOBLO COMBI
1.6 L HDI Version unique",2025,0,0,Diesel,Manuelle,5.0
104900.0,DFSK,"DFSK GLORY IX5
1.5 T DELUXE CVT Version unique",2025,0,0,Essence,Automatique,9.0
92900.0,PEUGEOT,PEUGEOT 2008 1.2 L Puretech 130 Active BVA,2025,0,0,Essence,Automatique,7.0
104950.0,MG,"MG HS
1.5L TURBO LUXURY Version unique",2025,0,0,Essence,Automatique,9.0
105900.0,PEUGEOT,"PEUGEOT RIFTER
1.6 L HDI 92CH Version unique",2025,0,0,Diesel,Manuelle,5.0
95900.0,GAC,GAC EMZOOM 1.5T GDI Lifestyle BVA,2025,0,0,Essence,Automatique,9.0
105980.0,DACIA,"DACIA DUSTER
1.5 L DCI 4X2 Version unique",2025,0,0,Diesel,Manuelle,6.0
105990.0,BYD,"BYD KING
1.5 L DM-I Version unique",2025,0,0,Hybride,Automatique,5.0
108900.0,TOYOTA,"TOYOTA COROLLA SEDAN
1.6 L CVT ACTIVE BVA Version unique",2025,0,0,Essence,Automatique,7.0
108980.0,SEAT,SEAT LEON 1.4 TSI Style,2025,0,0,Essence,Automatique,8.0
109000.0,GEELY,"GEELY GEOMETRY C
70 KWH Version unique",2025,0,0,Electrique,Automatique,4.0
109500.0,JETOUR,"JETOUR DASHING
1.5 TURBO BVA Version unique",2025,0,0,Essence,Automatique,8.0
109900.0,PEUGEOT,"PEUGEOT BOXER DOUBLE CABINE
PLATEAU 350 L2 Version unique",2025,0,0,Diesel,Manuelle,7.0
109950.0,MG,MG 7 1.5 L Turbo Luxury BVA,2025,0,0,Essence,Automatique,9.0
112900.0,GWM,"GWM POER MT
2.0 L DIESEL 4X4 Version unique",2025,0,0,Diesel,Manuelle,11.0
113777.0,FAW,FAW BESTUNE T77 PRO 1.5 l Luxury BVA,2025,0,0,Essence,Automatique,9.0
113800.0,GEELY,"GEELY AZKARRA
1.5 L TURBO MILD HYBRID 4WD Version unique",2025,0,0,Hybride,Automatique,9.0
114950.0,MG,"MG HS HYBRID+
1.5L TURBO Version unique",2025,0,0,Hybride,Automatique,7.0
117980.0,VOLKSWAGEN,VOLKSWAGEN GOLF 8 1.4 L TSI Drive,2025,0,0,Essence,Automatique,8.0
118900.0,DONGFENG,"DONGFENG FORTHING T5 EVO
1.5 L TURBO Version unique",2025,0,0,Essence,Automatique,9.0
118900.0,GAC,"GAC EMKOO
1.5T GDI GL BVA Version unique",2025,0,0,Essence,Automatique,9.0
118950.0,HYUNDAI,"HYUNDAI CRETA
1.5 L BVA Version unique",2025,0,0,Essence,Automatique,6.0
119500.0,JETOUR,"JETOUR X70 PLUS
1.5 TURBO Version unique",2025,0,0,Essence,Automatique,9.0
119800.0,TOYOTA,"TOYOTA YARIS CROSS HYBRIDE
1.5 L CVT Version unique",2025,0,0,Hybride,Automatique,5.0
119900.0,VOLVO,VOLVO EX30 Single Motor Core,2025,0,0,Electrique,Automatique,5.0
119900.0,CHERY,"CHERY ARRIZO 8
1.6 T-GDI LUXURY BVA Version unique",2025,0,0,Essence,Automatique,10.0
119900.0,HONDA,"HONDA HR-V
1.5 L CVT EX Version unique",2025,0,0,Essence,Automatique,7.0
120980.0,KIA,"KIA SELTOS
1.4 T-GDI TOP GRADE Version unique",2025,0,0,Essence,Automatique,8.0
122980.0,SSANGYONG,"SSANGYONG KORANDO
1.5 L GDI LIMITED BVA Version unique",2025,0,0,Essence,Automatique,9.0
123046.0,CHANGAN,"CHANGAN HUNTER
1.9 L TURBO DIESEL 4X4 Version unique",2025,0,0,Diesel,Manuelle,6.0
123800.0,TOYOTA,"TOYOTA HILUX SIMPLE CABINE
2.4 L DIESEL D-4D 4X4 Version unique",2025,0,0,Diesel,Manuelle,8.0
123900.0,HYUNDAI,"HYUNDAI KONA ELECTRIC
39 KWH Version unique",2025,0,0,Electrique,Automatique,3.0
123990.0,BYD,"BYD ATTO 3
60.48 KWH Version unique",2025,0,0,Electrique,Automatique,5.0
124800.0,TOYOTA,"TOYOTA COROLLA SEDAN HYBRIDE
1.8 L Version unique",2025,0,0,Hybride,Automatique,5.0
124900.0,FORD,FORD TERRITORY 1.5 L EcoBoost Titanium,2025,0,0,Essence,Automatique,8.0
126500.0,JEEP,"JEEP RENEGADE
1.4 TURBO 4X2 LIMITED BVA Version unique",2025,0,0,Essence,Automatique,8.0
127980.0,SEAT,SEAT ATECA 1.4 L TSI Style,2025,0,0,Essence,Automatique,8.0
